trait_id,segment,character,state_options,description
T15d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T15e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T15f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T15g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T16a,pereopod_3,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T16b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T16c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T16d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T16e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T16f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T16g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T17a,pereopod_4,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T17b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
